'umra	umrah
mysticism	mistisisme
myth	mitos
mythology	mitologi | ilmu mitos
myxomatosis	miksomatosis
métier	dingin
naan	nan
nacelle	nasel
naga	naga
nah	tidak
nail	paku | kuku
nail clippers	gunting kuku
nail polish	lak
nail polish remover	aseton
nail scissors	gunting kuku
naive	naif
naked	telanjang | bogel
nakedness	ketelanjangan
name	nama | sebut
named	bernama
namely	yaitu
nameplate	papan nama
namesake	senama
nametag	tanda pengenal
nano-	nano-
nanometre	nanometer
nanoparticle	nanopartikel
nanotechnology	nanoteknologi
nap	tidur siang
napa cabbage	sawi putih
nape	tengkuk | kuduk
naphtha	nafta
naphthalene	naftalena
napkin	serbet
narcissism	narsisisme | narsisme
narcissistic	narsistik
narcissistic personality disorder	gangguan kepribadian narsisistik
narcissus	narsis
narcosis	narkose | narkosis
narcotic	narkotika
narrate	menceritakan
narrative	naratif
narrator	narator
narrow	sempit
narrow-minded	kepala batu
narrowness	keciutan
nasal	nasal
nasal consonant	nasal
nase	hidung
nasheed	nasyid
nasi goreng	nasi goreng
nasi lemak	nasi lemak
nasturtium	selada air
nasty	babi
nata de coco	nata de coco
natatorial	perenang
nation	bangsa | negara
nation of laws	negara hukum
nation-state	negara-bangsa
national	nasional
national anthem	lagu kebangsaan
national emblem	blazono
national park	taman nasional
national security	keamanan nasional
nationalisation	nasionalisasi
nationalism	kebangsaan | nasionalisme
nationality	kebangsaan | kewarganegaraan | bangsa | nasionalisme | warga negara
native	bumiputra
native speaker	penutur asli | penutur jati
nativity	Natal
nativity scene	gua Natal
natto	nato | natto
natty	apik
natural	alami
natural disaster	bencana alam
natural gas	gas alam | gas bumi
natural history	sejarah alam
natural number	bilangan asli
natural resource	sumber daya alam
natural science	ilmu alam | ilmu pengetahuan alam
natural scientist	ilmiah
natural selection	seleksi alami
naturalist	ilmuwan alam
naturalize	memperalami
naturally	alami
nature	alam | ilmu | kodrat
nature calls	panggilan alam
naught	tidak ada
naughty	nakal
nausea	mual
nautical	laut
nautical mile	mil laut
nautilus	nautilus
naval	danau
nave	bahtera
navel	pusar | pusat
navigate	arung
navigation	navigasi
navigator	penjelajah web
navy	angkatan laut | marinir
navy blue	biru laut
nay	tidak
neap tide	pasang mati | pasang perbani
near	dekat
nearby	dekat
nearly	hampir
nearsightedness	rabun jauh
neat	asli
nebula	nebula
necessarily	seharusnya | semestinya
necessary	perlu | penting
necessitate	ajak
necessity	kebutuhan | keperluan
neck	leher
neckerchief	saputangan
necklace	kalung
necktie	dasi
necromancy	nekromansi
necropolis	nekropolis
necrosis	nekrosis
neddy	kuda
need	memerlukan | perlu
needle	jarum
needlessly	percuma saja
needy	miskin
negate	memungkari
negative	negatif
neglect	melalaikan
neglected	terabaikan
neglectful	abai
negligence	kelalaian
negligent	abai
negotiable instrument	efek
negotiate	berunding
negotiation	negosiasi | perundingan
negotiator	juru runding | negosiator
negro	negro
neigh	merengeh
neighborhood	lingkungan | lingkungan tetangga | pertetanggaan | ketetanggaan | persekitaran
neighboring	berdekatan
neighbour	tetangga
nemesis	retribusi
neo-Nazism	neonaziisme
neoconservatism	neokonservatisme
neofascism	neo-fasisme
neoimperialism	imperialisme baru
neologism	neologisme
neon	neon
neonatal	neonatal
nephew	keponakan | kemenakan | misan
nephric	ginjal
nepotism	nepotisme
nerd	lembu
nerve	saraf
nerve cell	neuron
nerve gas	agen saraf
nervous	gugup
nervous system	sistem saraf
nervousness	kecemasan
nest	sarang
net	jaring
net income	pendapatan bersih | penghasilan bersih
net profit	laba bersih
netball	bola jaring
nether	bawahan
netizen	netizen | warganet
nettle	bakar
network	jaringan
neural	neural
neural network	indonesia
neurochemistry	neurokimia
neurologist	neurolog
neurology	neurologi
neuron	neuron
neuroscience	neurosains
neurosis	neurosis
neurotoxin	neurotoksin
neuter	mengebiri
neutral	netral
neutrality	netral | netralitas
neutrino	neutrino
neutron	neutron
neutron activation analysis	analisis aktivasi neutron
neutron star	bintang neutron
never	tidak pernah | tidak akan
never mind	tidak apa-apa | lupakan
neverness	tidak pernah
nevertheless	bagaimana pun
new	baru | baharu
new moon	kata
new year	tahun baru
newbie	buah beri biru tua
newborn	jabang bayi
newcomer	pemula
newly	baru
news	berita | kabar | info | warta
news anchor	pembaca berita | penyauh berita
news item	berita
newscaster	pembawa berita | penyiar berita | pewara berita
newsgathering	jurnalisme
newspaper	koran | surat kabar
newsroom	ruang redaksi
newsworthy	menarik
newton	newton
next	berikut
next of kin	akrab
next to	di samping
nexus	jaringan
ney	ney
ngapi	belacan
nib	bulu
nibble	merongrong
nice	bagus
nicely	bagus
niche	cekung | ceruk | relung | relung ekologi
nick	lobang
nickel	nikel
nickeline	nikelin
nickname	panggilan
nicotine	nikotin
nicotine gum	permen karet nikotin
niece	keponakan | kemenakan | misan
nifty	cantik
nigga	negro
niggardly	kikir
nigger	gorila
nigh	dekat
night	malam | malam hari
night blindness	buta ayam | buta senja
night market	pasar malam
night of the long knives	Malam Pisau Panjang
night owl	burung hantu
night person	burung hantu
night soil	tinja
nightclub	diskotik
nightfall	senjakala
nightingale	bulbul
nightmare	mimpi buruk
nighttime	malam
nihilism	nihilisme
nil	nol
nimble	segera
nimbus	nimbus
nincompoop	bebal
nine	sembilan
nine hundred	sembilan ratus
nineteen	sembilan belas
nineties	tahun sembilan puluhan
ninetieth	kesembilanpuluh
ninety	sembilan puluh
ninja	ninja
ninth	kesembilan
nipa	nipah
nipple	pentil | puting susu
nirvana	nirwana
nit	telur kutu
nitpick	cerewet | rewel
nitrate	nitrat
nitric acid	asam nitrat
nitric oxide	nitrogen monoksida
nitrogen	nitrogen | zat lemas
nitrogen dioxide	nitrogen dioksida
nix	jari manis
no	tidak | bukan | tak
no doubt	sudah pasti | tanpa keraguan
no one	orang
no pain, no gain	berakit-rakit ke hulu, berenang-renang ke tepian
no problem	kembali
no rose without a thorn	ada rotan, ada duri
no smoke without fire	ada bau, ada bangkainya
no smoking	dilarang merokok
no way	bohong
no-fly zone	zona larangan terbang
nobility	bangsawan
noble	mulia
noble gas	gas mulia
noble metal	logam adi | logam mulia
nobleman	bangsawan
nobleness	bangsawan
noblesse oblige	noblesse oblige
noblewoman	bangsawan
nobody	nol
nobody's perfect	bumi mana yang tidak ditimpa hujan | tiada yang sempurna
nocebo	nocebo
nociception	nosisepsi
nod	anggukan | mengangguk
node	simpul | nodus
noggin	tengkorak
noise	berisik | kebisingan
noise pollution	bunyi
noisy	ribut
nomenclature	nomenklatur
nominal	baku
nominalization	nominalisasi
nominate	menunjuk
nomination	pengangkatan
nominative	kasus nominatif
nominative case	kasus nominatif
nomothetic	nomotetik | nomotetis
non-	-tidak-
non-Euclidean geometry	geometri non-Euklides
non-commissioned officer	bintara
non-governmental organization	lembaga swadaya masyarakat | organisasi nonpemerintah
non-player character	karakter nonpemain
nonbeliever	ateis
nonchanging	konstan
none	kosong | tak satupun
nonetheless	bagaimana pun
nonexistent	adanya
nonfree	berbayar
noni	bengkudu | kemudu | mengkudu | pace
nonkilling	anti-pembunuhan
nonlinear	nirlanjar | tak lanjar
nonnegotiable	absolut
nonprofit	nirlaba
nonsense	nonsens | omong kosong
nonstandard	nonstandar | nonbaku | tak baku
noodle	mi | mie
noogie	jitak
nookie	enam
noon	tengah hari | siang
nope	enggak
nor	atau
nori	nori
norm	norma
normal	normal | biasa | sehat
normal distribution	distribusi normal
normal school	institut keguruan dan ilmu pendidikan
normally	biasanya
normative	normatif
north	utara
north pole	kutub utara
north wind	utara
northeast	timur laut
northerly	utara
northern	utara
northwest	barat laut
nose	hidung
nosebleed	mimisan
nosebleed section	kandang ayam
nosedive	meloncat ke dalam air
nosology	nosologi
nostalgia	nostalgia
nostril	lubang hidung
nosy	bekantan
not	tidak | bukan | tak
not at all	kembali
not bad	lumayan
not even	bahkan
not yet	belum
notable	terkenal | termasyhur
notary	notaris
notary public	notaris
notation	notasi
notch	tenggorok
note	not
notebook	buku catatan | notes | bloknot
notepad	buku catatan
noteworthy	terkemuka
nothing	nol
nothingness	kehampaan
notice	menyaksikan
noticeable	berandang | kelihatan | nyata | yg menarik perlihatan | yg mudah dilihat
notification	notifikasi
notify	memberitahu
notion	ide
notorious	terkenal
notwithstanding	biar
nought	nol
noun	kata benda | nomina | kata nama | substantif
noun numeral	angka
nourishing	bergizi
nourishment	makanan
nous	kami
nouveau riche	orang kaya baru
nova	nova
novation	novasi
novel	novel
novelist	novelis
novella	novela
novelty	berita
novena	novena
now	kini | sekarang
now and then	kadang-kadang
nowadays	sekarang ini | pada masa kini | saat ini | sekarang
noxious	berbahaya
nozzle	moncong
nth	ke-n
nu	nu
nuance	nuansa
nuanced	terperinci
nub	tombol | inti | sari
nuclear	nuklir
nuclear binding energy	energi ikat inti | energi pengikatan inti | energi pengikatan nuklir
nuclear family	keluarga batih | keluarga inti
nuclear fission	fisi nuklir
nuclear fusion	fusi nuklir
nuclear medicine	kedokteran nuklir
nuclear power plant	PLTN
nuclear reaction	reaksi nuklir
nuclear reactor	reaktor nuklir
nuclear war	perang nuklir
nuclear weapon	senjata nuklir
nuclear winter	musim dingin nuklir
nucleic acid	asam nukleat
nucleon	nukleon
nucleophile	nukleofil
nucleotide	nukleotida
nucleus	inti | nukleus | inti sel
nuclide	nuklida
nude	telanjang
nudge	mudah
nudity	ketelanjangan
nudiustertian	kemarin dahulu
nugget	biru
nuisance	gangguan | orang rewel
nuke	mengebom nuklir
null	nol
null and void	batal demi hukum
nullify	batalkan
numb	mati rasa
number	angka | bilang | nomor
number one	kecil
number theory	teori bilangan
numbness	mati rasa
numeral	angka | bilangan | nomer
numerator	pembilang
numismatics	numismatika
nun	biarawati | suster
nunation	tanwin
nunchaku	ruyung
nuncio	nuncio
nunnery	asrama
nurse	perawat | suster | susu | ners | merawat
nursery	balai penitipan anak
nursery school	balai penitipan anak
nursing home	panti jompo
nurture	menernakkan
nut	kacang
nutcracker	alat pemecah buah keras
nutmeg	pala
nutrient	nutrien | gizi
nutrigenomics	nutrigenomik
nutrition	gizi | nutrisi
nutritional	gizi
nutritional value	nilai gizi
nutritionist	ahli gizi | pakar gizi
nutritious	bergizi
nutritive	bergizi
nuts	digeser
nutshell	kulit kacang
nutty	gila
nylon	nilon
nymph	nimfa
née	nama gadis
o	tentang
o'clock	jam satu | pada jam satu | pada pukul satu | pukul satu
oaf	bebal
oak	ek
oar	dayung
oasis	oasis | oase | wahah
oat	haver
oath	sumpah
oath of office	sumpah jabatan
oats	haver
obduracy	ketegaran
obdurate	keras hati
obedience	kepatuhan
obedient	dengar-dengaran | patih | patuh | penurut | taat
obelisk	tanda silang
obesity	obesitas
obey	kepatuhan
obi	obi
obituary	berita duka | kabar duka
object	menyanggah
objection	berkeberatan | keberatan | penolakan
objective	sasaran | objektif
objectively	lensa
objector	pemberkeberatan | penolak
oblast	oblast
oblige	meletakkan
obliged	berterima-kasih
obligor	peminjam
oblique	miring
obliterate	memberantas
oblivious	alpa
oblong	panjang
oboe	obo
obol	obolos
obolus	obolos
obscene	cabul | asusila | kasar | jorok
obscenity	asusila
obscure	kabur
observation	observasi
observatory	observatorium
observe	menaati
obsidian	obsidian | batu kaca | batu kendan
obsolescence	keusangan
obsolete	usang
obstacle	ganjalan
obstetrics	kandungan | obstetri
obstinacy	ketegaran
obstinate	keras
obstruct	adang
obstruction	obstruksi
obtain	ada
obtuse	tumpul
obtuse angle	sudut tumpul
obverse	kepala
obvious	terang
obviously	dengan jelas
ocarina	okarina
occasion	kesempatan
occasional	sporadis
occasionally	kadang-kadang
occident	barat
occluded front	oklusi
occult	okultisme
occultation	okultasi
occultism	okultisme
occupancy	okupansi
occupant	penumpang
occupation	pendudukan | pekerjaan | profesi
occupational	pekerjaan
occupational hazard	bahaya pekerjaan
occupational safety and health	kesehatan dan keselamatan kerja
occupational therapy	terapi okupasi
occupy	mendiami
occur	mempersembahkan
occurrence	keterjadian
ocean	samudra | lautan
ocean floor	dasar laut
ocean sunfish	bulan
oceanarium	oceanarium
oceanography	oseanografi | oseanologi
ochlocracy	oklokrasi
ochre	oker
octadecagon	oktadekagon
octagon	oktagon | segi delapan
octahedron	bidang delapan | oktahedron
octane	oktana
octopus	gurita
ocular	mata
odalisque	odalisque
odd	ganjil | gasal
oddball	miring
odds	kemungkinan
ode	ode
odeon	odeon
odontology	odontologi
odor	bau
odyssey	kelana | kembara
oeillade	kerlingan
oesophagus	esofagus
oestrus	berahi
oeuvre	buruh
of	dari
of course	tentu
of the century	abad
of the world	di dunia
off	menjauh
off the books	hitam
off-campus	luar kampus
off-color	jorok
offal	dalaman | jeroan | visera
offend	menyakiti
offender	pelanggar
offense	serangan
offensive	menyinggung | tidak sopan
offer	tawaran
offer one's condolences	berbelasungkawa
offering	sajen
offhand	abai
office	kantor | biro | ofisi
office worker	pekerja kantoran
officeholder	pemegang jabatan | penjabat
officer	perwira
official	resmi | pejabat
official gazette	berita negara | lembaran negara
official language	bahasa resmi
offline	luring
offset	awal
offshoot	belokan
offshore	lepas pantai
offside	offside
offspring	anak
oft	acap kali
often	sering | acap kali
oftentimes	sering
oganesson	oganeson
ogee	tenggorok
ogle	memadamkan
ogre	buto
oh	nol
oh my God	astaga | ya tuhan
oh no	suami
oh well	akhirnya
ohm	ohm
ohmmeter	ohm-meter
oil	minyak | minyak bumi
oil lamp	candela
oil painting	minyak
oil palm	kelapa sawit
oil rig	rig pengeboran
oil tanker	kapal tanker minyak
oily	minyak
oink	ngok | ngok ngok
ointment	salep
okapi	okapi
okra	bendi
okrug	okrug
old	tua | lama
old age	masa tua
old age pension	pensiun
old country	bangsa
old man	pak tua
old saw	pepatah
old sweat	veteran
old wives' tale	mitos
old woman	ibu tua
old-growth forest	hutan primer
old-timer	purnawirawan
older brother	abang
older sibling	kakak
older sister	kakak
oldness	masa tua
oleander	oleander
oleic acid	asam oleat
olfaction	berbau
olfactory	olfaktori | olfaktoris
oligarch	bohir | oligark
oligarchic	oligarkis
oligarchy	oligarki
oligomer	oligomer
oligopoly	oligopoli
olive	zaitun
olive grove	Bukit Zaitun
olive oil	minyak zaitun
olive tree	zaitun
olive-backed sunbird	burung madu sriganti
om	aum
om nom nom	nyam
omasum	buku
ombudsman	ombudsman
omelette	telur dadar
omertà	omerta
ominous	cekam | gelagat buruk
omission	lupa
omni-	semua
omnibus	bis
omnipotent	mahakuasa
omniscient	maha tahu
omnivore	omnivor
on	atas | di atas | menyala | pakai | pasang | terjadi
on average	biasanya
on behalf of	atas nama
on demand	sesuai kebutuhan | sesuai permintaan
on earth	keajaiban
on hand	lengan
on ice	es
on one's feet	kaki
on one's guard	waspada
on one's own	diriku
on paper	di atas kertas
on sight	segera
on the brink of	di pinggir
on the button	baterai
on the dot	baterai
on the fence	bagai air di daun talas
on the go	gerakan
on the house	jawa
on the nose	akurat
on the rocks	es
on the spot	seketika
on the way	sedang di jalan
on thin ice	abu di atas tanggul
on your mark, get set, go	bersedia, siap, ya
onager	keledai asia
onanism	onani
once	begitu
once again	lagi
once in a while	kadang-kadang
once upon a time	pada suatu hari
once-in-a-lifetime	unik
oncologist	onkolog
oncology	onkologi
one	satu | kesatuan | setuju | suatu
one o'clock	jam
one up	lampau
one's	ada
one-eighth	seperdelapan
one-liner	reguk
one-night stand	cinta satu malam
one-off	unik
one-way	perjalanan tunggal
one-way mirror	kaca satu arah
oneiric	mimpi
oneness	kesatuan
onerous	berat
oneself	sendiri
onion	bawang
onion dome	bawang
online	dalam jaringan | daring | tersambung
onlooker	penonton
only	hanya | anging | satu-satunya | tunggal
only child	anak tunggal
onomastics	onomastik
onomatopoeia	onomatopoeia | pembentukan kata yg meniru suara
onrush	erang, serbu, menyerang, menyerbu
onsen	onsen
onset	awitan
onslaught	ofensif
onto	atas
ontology	ontologi
oocyte	telur
oomph	kekuatan
oophorectomy	ovariektomi
oops	ups
ooze	berkeringat
opacity	ketidakbeningan
opal	opal
open	buka | membuka
open sandwich	pangan
open sea	laut
open secret	rahasia umum
open sesame	wijen
open source	bebas
open syllable	suku kata terbuka
open the ball	awal
open up	bedah
open water	punggung
open world	dunia terbuka
opening	pembukaan
openly	buka
opera	opera
opera house	opera
operate	bedah
operating room	ruang operasi
operating system	sistem operasi | sistem operasional | sistem pengoperasian
operating table	bola sodok
